time,open,high,low,close,volume
1747008000,104710,104841,103480,103994,0
1747353600,104083,105503,101109,103709,0
1747699200,103749,106518,102381,105629,0
1748044800,105614,111814,104386,107217,0
1748390400,107156,110407,106802,109068,0
1748736000,109010,109104,103296,104688,0
1749081600,104686,106807,103939,104813,0
1749427200,104803,106365,100783,105692,0
1749772800,105724,110282,105426,105979,0
1750118400,105898,108785,103081,106951,0
1750464000,106842,107644,102624,103290,0
1750809600,103292,106129,98467,105976,0
1751155200,106036,108116,105985,107332,0
1751500800,107333,109608,105402,108824,0
1751846400,108876,110386,107386,109215,0
1752192000,109222,116462,107591,115880,0
1752537600,115961,122838,115548,119834,0
1752883200,119849,120689,116094,117989,0
1753228800,118003,120222,116779,119956,0
1753574400,119959,119959,115086,117960,0
1753920000,117906,119754,116079,117833,0
1754265600,117828,118865,112113,114199,0
1754611200,114235,117596,112770,117463,0
1754956800,117483,122227,115979,118774,0
1755302400,118727,124128,116956,117340,0
1755648000,117397,118514,112778,112778,0
1755993600,112896,117310,111764,115360,0
1756339200,115333,115549,109214,111216,0
1756684800,111241,113329,107682,108253,0
1757030400,108226,112502,107295,110725,0
1757376000,110752,113225,110032,112025,0
1757721600,112080,116705,110822,116160,0
1758067200,116092,116970,114509,116763,0
1758412800,116797,117888,114940,115716,0
1758758400,115723,115858,111369,113321,0
1759104000,113317,113492,108776,112143,0
1759449600,112179,121044,111599,120612,0
1759795200,120515,126080,119514,124774,0
1760140800,124740,125108,105896,113202,0
1760486400,113044,115934,109862,113157,0
1760832000,113066,113527,103856,107156,0
1761177600,107210,113804,106222,107618,0
1761523200,107591,114816,107581,114476,0
1761868800,114419,116041,106464,108241,0
1762214400,108409,111130,105540,106521,0
1762560000,106452,107189,99076,103396,0
1762905600,103192,107357,101490,102961,0
1763251200,103112,105257,94138,95508,0
1763596800,95380,96528,88540,91363,0
1763942400,91408,92944,81051,86784,0
1764288000,86740,91850,85546,91279,0
1764633600,91324,92849,83989,86281,0
1764979200,86304,94001,86259,89307,0
1765324800,89264,94490,87887,92723,0
1765670400,92686,94177,89426,90257,0
1766016000,90253,90469,85374,86065,0
1766361600,86197,89220,84581,88577,0
1766707200,88672,90353,86576,87230,0
1767052800,87192,90230,86674,87157,0
1767398400,87155,90789,86855,89926,0
1767744000,89951,94634,89401,93667,0
1768089600,93647,93647,89343,90442,0
1768435200,90392,97705,90129,97008,0
1768780800,96934,97113,93753,93753,0
1769126400,93636,93636,87304,89443,0
1769472000,89459,90895,86126,88308,0
1769817600,88220,90316,81315,84142,0
1770163200,84122,84122,73112,75639,0
1770508800,75650,76749,60256,69297,0
1770854400,69271,71852,65932,66938,0
1771200000,66994,70898,65243,68717,0
1771545600,68781,69999,65734,66919,0
1771891200,66957,68637,63963,64578,0
1772236800,64646,69487,62803,65884,0
1772582400,65879,69851,63177,68322,0
1772928000,68292,73953,67038,67271,0
1773273600,67268,71612,65727,70227,0
1773619200,70203,73839,69265,72682,0
1773964800,72799,75937,68934,69871,0
1774310400,69912,71646,67564,70893,0
1774656000,70917,71922,65587,66321,0
1775001600,66328,68286,65112,68232,0
1775347200,68231,69136,65819,67304,0
1775692800,67306,72698,66634,71117,0
1776038400,71004,73721,70522,70757,0
1776384000,70651,75829,70627,75149,0
1776729600,75135,78240,73854,75875,0
1777075200,75885,79389,74935,77445,0
1777420800,77490,79400,75706,76345,0
1777766400,76343,79005,75103,78655,0
1778112000,78666,82752,78095,81425,0
1778457600,81450,82348,79287,82146,0
